Date, Open, High, Low, Close
02/24/23,32999.19,32999.19,32643.48,32816.92
02/27/23,32906.16,33189.28,32814.18,32889.09
02/28/23,32873.47,32873.47,32636.43,32656.7
03/01/23,32656.37,32746.15,32500.71,32661.84
03/02/23,32780.97,33083.45,32665.85,33003.57
